Judul,Penulis,Pembimbing I,Pembimbing II,Abstrak
KEANEKARAGAMAN DAN PEMANFAATAN TANAMAN PEKARANGAN Taneyan Lanjhang PADA TIGA KECAMATAN DI KABUPATEN SUMENEP,Penulis : MOHAMAD NAILUR RIDHA,"Dosen Pembimbing I : Dr. Agr. EKO SETIAWAN, S.P., M.Si","Dosen Pembimbing II :Ir. SINAR SURYAWATI, M.Si","Permukiman tradisional Madura adalah suatu kumpulan rumah yang terdiri atas keluarga-keluarga yang mengikatnya. Letaknya sangat berdekatan dengan lahan garapan, mata air atau sungai salahsatunyaadalahtaneyanlanjhang.Taneyan lanjhang merupakan ciri khas rumah Madura yang mana banyak terlihat di daerah pedesaan. Taneyan lanjhang memiliki arti tersendiri, Taneyan artinya pekarangan atau halaman sedangkan lanjhang artinya panjang. Pekarangan sering juga disebut sebagai lumbung hidup, warung hidup atau apotek hidup karena memiliki arti penting bagi masyarakat khsususnya di pedesaan.Tujuan penelitian ini untuk mengetahui jenis tanaman yang terdapat pada pekarangan taneyan lanjhang setiap rumah dan Untuk mengetahui pemanfaatan tanaman pada pekarangan rumah taneyan lanjhang di Kabupaten Sumenep.Penelitian ini dirancang menggunakan metode survei yang dirancang untuk memperoleh gambaran tentang lahan pekarangan (taneyan lanjhang) di Kabupaten Sumenep yang diwakili dengan 3 kecamatan yaitu Kecamatan Bluto, kecamatan Lenteng, dan Kecamatan Saronggi. Penentuan sampel ditentukan dengan menggunakan snowball sampling yang masing-masing kecamatan diambil 12 sampel dengan demikian terdapat 36 sampel pada tiga kecamatan tersebut. Keanekaragaman pisang mendominasi setiap tanaman buah di tiga kecamatan. Pada kecamatan Bluto memiliki indeks keragaman pisang sejumlah 0.34. pada kecamatan Lenteng indeks keragaman pisang sebesar 0.36. sedangkan pada kecamatan Saronggi memiliki indeks keragaman pisang sebesar 0.36.

Kata kunci : Pemukiman Tradisional, Taneyan lanjhang, dan Pekarangan"
"PENGARUH PENGGUNAAN MACAM MULSA ORGANIK TERHADAP PERTUMBUHAN DAN HASIL PRODUKSI DUA VARIETAS
CABAI RAWIT (Capsicum frutescens L.)",Penulis : Sugiarto,"Dosen Pembimbing I : Dr. Ir. Eko Murniyanto, MP","Dosen Pembimbing II :Ir. Sinar Suryawati, M.Si","PENGARUH PENGGUNAAN MACAM MULSA ORGANIK TERHADAP PERTUMBUHAN DAN HASIL PRODUKSI DUA VARIETAS
CABAI RAWIT (Capsicum frutescens L.)
Sugiarto1, Eko Murniyanto2, Sinar Suryawati 2
1Mahasiswa Agroteknologi, Fakultas Pertanian,
Universitas Trunojoyo Madura
2Dosen Penguji, Staf Pengajar Universitas Trunojoyo Madura
ABSTRAK
Cabai Rawit (Capsicum frutescens L.) merupakan jenis sayuran yang paling digemari oleh masyarakat dan merupakan jenis tanaman yang memiliki nilai ekonomi tinggi. Untuk tetap meningkatkan produktivitas dari pengaruh lingkungan yang tidak mendukung selain menggunakan varietas unggul, dapat dilakukan pengaplikasian mulsa. Mulsa organik dapat menahan percikan air hujan, memelihara struktur tanah, meningkatkan kapasitas tanah menahan air, menjaga kelembaban tanah sehingga produktivitas tanahnya terpelihara. Tujuan dari penelitian ini adalah untuk mengetahui respon varietas cabai rawit yang berbeda terhadap penggunaan macam mulsa organik. Penelitian ini di lakukan pada bulan Agustus - Desember 2016, bertempat di Kebun Penelitian dan Produksi Program Studi Agroteknologi Fakultas Pertanian Universitas Trunojoyo Madura. Rancangan yang digunakan dalam penelitian ini yaitu Rancangan Acak Kelompok (RAK) 2 faktor yaitu; mulsa organik dan varietas. Kombinasi perlakuan sebanyak 8 dan diulang 3 kali. Faktor mulsa organik ada 4 taraf yaitu M0 = kontrol, M1 = jerami, M2 = sekam, dan M3 = daun pisang kering, sedangkan faktor varietas ada 2 yaitu V1 = Varietas Lokal, dan V2 = Varietas Hibrida. Hasil dari penelitian ini menunjukkan bahwa Penggunaan berbagai macam mulsa organik hanya mempengaruhi pada kadar air tanah, jumlah cabang, jumlah buah, berat buah, berat brangkasan basah tanaman dan berat brangkasan kering tanman. Pada penggunaan varietas menunjukkan hasil yang berbeda nyata disetiap parameter. Penggunaan mulsa organik yang efektif yaitu mulsa jerami terhadap varietas hibrida.
Kata Kunci : Cabai Rawit, Mulsa Organik, Vairetas"
penampilan karakter agronomis galur unggul kacang bambara (Vigna suterranea. L. Verdc ) Di madura,Penulis : JAMALUDDIN,"Dosen Pembimbing I : Dr.H.Kaswan badami,M.Si.","Dosen Pembimbing II :Dr.Agr. Ekosetiawan.S.P.,M.Si","       Kacang Bambara yaitu tanaman legume yang berasal dari Afrika dan 
mulai dibudidayakan di Madura. Kacang bambara mampu menghasilkan biji
kering 0.77 ton per hektar tanpa pemupukan sedangkan pada kondisi lingkungan
tumbuh optimum mampu menghasilkan 4 ton per hektar biji kering. Permasalahan
utama pengembangan kacang bambara di Madura maupun daerah lain di
Indonesia adalah penggunaan benih yang tidak seragam,  berumur panjang (4-5
bulan) serta masih rendahnya produksi per hektar. Penelitian ini bertujuan untuk
penampilan karakter agronomis (pertumbuhan dan produksi) 6 galur unggul
kacang bambara di Madura, mengetahui nilai heritabilitas galur kacang bambara,
mendapatkan galur kacang bambara yang sesuai untuk dikembangkan di Madura.
Penelitian ini dilaksanakan di kebun Agroteknologi Universitas Trunojoyo
Madura Bangkalan dengan ketinggian tempat ± 5 m dpl dilaksanakan pada bulan
September sampai bulan November 2016. Rancangan yang digunakan pada
penelitian ini adalah Rancangan Acak Kelompok (RAK) dengan 3 kali ulangan.
Terdapat penampilan fenotip dari enam galur kacang bambara yang telah diuji,
yaitu pada parameter tinggi tanaman, jumlah daun, lebar daun, jumlah polong,
lebar polong, panjang polong, umur panen, produksi tanaman (kg/ha).  Sedangkan
pada parameter jumlah daun berbeda nyata. Nilai heritabilitas dalam arti luas
parameter jumlah daun dan umur panen mempunyai nilai heritabilitas tinggi. dan
parameter lebar daun, lebar polong, panjang polong memiliki nilai heritabilitas
sedang. Sedangkan parameter tinggi tanaman, jumlah polong, produksi tanamanan
(kg/ha) memiliki nilai heritabilitas rendah. 
 
Kata Kunci : Galur, kacang bambara (Vigna subterranea L. Verdc), Heritabilitas.
"
PENGARUH PEMBERIAN BEBERAPA MACAM PUPUK KANDANG TERHADAP PERTUMBUHAN BIBIT TEBU (Saccharum officinarum L.) ASAL BUDCHIP,Penulis : Ridwan Maulana,"Dosen Pembimbing I : Dr. Ir. Gita Pawana, M.Si.","Dosen Pembimbing II :Dr. Ir. RA. Sidqi Zaed ZM, MS.","Tanaman tebu (Saccharum officinarum L.) merupakan bahan baku industri gula yang merupakan komoditas unggulan dan dibudidayakan di Indonesia. Salah satu upaya pembibitan tebu untuk meningkatkan mutu dan produksi bibit tebu yang akan dihasilkan melalui perbaikan sifat fisik, biologi dan kimia tanah (secara tidak langsung) adalah dengan pengaplikasian pupuk organik. Negara Indonesia memiliki lahan pertanian yang luas, akan tetapi belum dimaksimalkan, begitu pula tebu. Sampai sekarang Indonesia masih mengimpor komoditas seperti kedelai dan tebu. Tujuan penelitian ini adalah mengetahui pengaruh pemberian berbagai pupuk kandang (pupuk kotoran sapi, kambing dan ayam) dan mengetahui pupuk kandang yang paling baik digunakan untuk pertumbuhan bibit tebu (Saccharum officinarum L.). Bahan yang digunakan dalam penelitian ini adalah tebu (Varietas Bululawang), fungisida, air, EM-4, gula, tanah dan berbagai pupuk kandang (pupuk kotoran sapi, kambing, dan ayam). Rancangan penelitian yang digunakan adalah Rancangan Acak Lengkap (RAL) non faktorial dan diulang sebanyak 4 kali. Data yang diperoleh dianalisis menggunakan Analisis Sidik Ragam (ANSIRA) yang dilanjutkan dengan uji jarak Duncan pada taraf 5 %. Secara umum perlakuan pupuk kandang ayam (M1) cenderung memberikan pengaruh paling tinggi terhadap semua parameter pengamatan. Akan tetapi, pengaruh yang diberikan semuanya tampak terlihat tidak terlalu berbeda nyata jika dibandingkan dengan perlakuan lainnya.

Kata kunci : Pupuk kandang, budchip, tanaman tebu
"
KAJIAN PERTUMBUHAN  STEK TANAMAN KOLESOM (Talinum triangulare (Jacq.) Willd) PADA KOMPOSISI MEDIA TANAM YANG BERBEDA,Penulis : NURDIN HASYIM,"Dosen Pembimbing I : Dr. Ir. R.A SIDQI ZAED ZM, M.S","Dosen Pembimbing II :Ir. SINAR SURYAWATI, M. Si","Penelitian ini bertujuan untuk mengetahui pertumbuhan stek tanaman kolesom (Talinum triangulare) (Jacq.) Willd) pada komposisi media tanam yang berbeda. Penelitian dilaksanakan di kebun Percobaaan Jurusan Agroteknologi Fakultas Pertanian Universitas Trunojoyo Madura Kecamatan Kamal, Kabupaten Bangkalan pada bulan November–Desember 2016.  Rancangan penelitian yang digunakan adalah Rancangan Acak Lengkap (RAL) dengan 4 ulangan dan 6 perlakuan yang dicoba adalah M1 (Tanah Mediteran), M2 (Tanah Mediteran + Pupuk Kandang Sapi / 3:2), M3 (Tanah Mediteran + Arang Sekam / 3:2), M4        (Tanah Mediteran + Pupuk Kandang Sapi + Arang Sekam / 3:2:1), M5 (Tanah Mediteran + Pupuk Kandang Sapi + Arang Sekam / 3:1:2), M6 (Tanah Mediteran + Pupuk Kandang Sapi + Arang Sekam / 3:1:1), variabel yang diamati adalah waktu muncul tunas, jumlah daun, jumlah cabang, jumlah akar, bobot basah dan bobot kering organ tanaman. Hasil pengamatan dianalisis dengan Analisis of Variance (ANOVA) dan apabila ada pengaruh nyata pada perlakuan maka dilanjutkan dengan uji BNT 5%. Perlakuan komposisi media tanam berpengaruh nyata terhadap semua variabel pengamatan kecuali pada variabel waktu muncul tunas tidak berpengaruh nyata, perlakuan M2 (Tanah Mediteran + Pupuk Kandang Sapi / 3:2) menghasilkan jumlah daun, jumlah cabang, jumlah akar, jumlah umbi, bobot basah dan bobot kering tanaman yang lebih tinggi dibandingkan perlakuan media tanam lainnya."
Pengaruh Jumlah Buku (Nodus) Di Bawah Tanah Terhadap Pertumbuhan Stek Cabe Jamu (Piper retrofractum Vahl.),Penulis : Unun Nur Fitriyanti,"Dosen Pembimbing I : Ir. H. Suhartono, M. P","Dosen Pembimbing II :Ir. Achmad Djunaedy, M. P","ABSTRAK

Proses untuk pembentukan akar biasanya dapat dipercepat dan ditingkatkan kualitasnya dengan cara pemberian Zat Pengatur Tumbuh (ZPT). Akan tetapi, percobaan-percobaan menggunakan zat pengatur tumbuh dalam memacu pertumbuhan stek cabe jamu sudah banyak dilakukan, sehingga perlu juga dicari alternatif lain atau perlakuan khusus untuk meningkatkan pertumbuhan stek cabe jamu tanpa menggunakan ZPT yaitu dengan memperbanyak jumlah buku (nodus) dibawah tanah. 
Penelitian ini bertujuan untuk mengetahui pengaruh jumlah buku (nodus) di bawah tanah terhadap pertumbuhan stek cabe jamu. Penelitian ini dilakukan di Desa Sendang Kecamatan Pragaan Kabupaten Sumenep dengan ketingian tempat ± 5 meter di atas permukaan laut, yang dilaksanakan dari bulan November 2016 sampai Februari  2017. Percobaan ini menggunakan Rancangan Acak Lengkap (RAL) non faktorial meliputi 6 perlakuan jumlah buku (2, 3, 4, 5, 6, dan 7 buku) di bawah tanah dengan 4 ulangan. Disetiap perlakuan dalam satu ulangan terdapat  4 stek sehingga dalam percobaan ini terdapat 96 stek. Hasil pengamatan dianalisis menggunakan sidik ragam dan dilanjutkan dengan menggunakan Uji Beda Jarak Nyata Duncan (BJND) taraf 5%. 
Hasil penelitian memberikan pengaruh yang nyata terhadap parameter jumlah daun, jumlah ruas, tinggi tanaman, panjang akar, dan tidak berpengaruh nyata terhadap parameter saat terbentuk tunas, jumlah daun rontok dan jumlah akar. Perlakuan G1 memberikan hasil terbaik pada parameter panjang akar pada buku (nodus), perlakuan G4 memberikan hasil terbaik pada tinggi tanaman, dan perlakuan G6 memberikan hasil terbaik pada jumlah daun dan jumlah ruas. 

Kata kunci: Stek cabe jamu, jumlah buku (nodus) dibawah tanah 
"
PENGARUH PERBEDAAN SUHU INKUBASI TERHADAP KERAPATAN SPORA DAN VIABILITAS CENDAWAN Beauveria bassiana DAN TOKSINITASNYA TERHADAP ULAT GRAYAK (Spodoptera litura Fab.),Penulis : YUNDHA AVIVAH ANGGRAENI,"Dosen Pembimbing I : Dr. Ir. Gita Pawana. M,Si.",Dosen Pembimbing II :,"Ulat grayak (Spodoptera litura Fab.) merupakan salah satu hama utama pada tanaman tembakau (Nicotiana tabacum). Insektisida kimiawi sering digunakan sebagai salah satu bentuk pengendalian. Namun, pengunaan insektisida kimiawi dapat merusak lingkungan. Sehingga diperlukan alternatif lain dalam mengendalian hama ini, salah satu alternatif yang dapat dilakukan yaitu pemanfaatan cendawan entomopatogen (Beauveria bassiana). Penelitian ini bertujuan untuk mengetahui pengaruh perbedaan suhu penyimpanan terhadap kerapatan dan viabilitas cendawan B. bassiana  dan toksinitasnya terhadap ulat grayak (Spodoptera litura Fab.). Isolat cendawan B. bassiana disimpan pada suhu yang berbeda yaitu suhu 7 ºC (S1) dan penyimpanan suhu ruang (2). Perlakuan penyimpanan suhu 7 ºC (S1) memiliki tingkat toksinitas yang lebih tinggi dibandingkan dengan perlakuan penyimpanan suhu ruang (S2) berdasarkan nilai LC50 dan LT50 yaitu 108 spora /ml dan 74,7 jam. "
UJI DAYA RACUN NEMATODA ENTOMOPATOGEN Heterorhabditis sp. TERHADAP MORTALITAS LARVA Crocidolomia pavonana (Lepidoptera: Crambidae) INSTAR III DAN IV,Penulis : Yogo Prasetyo,Dosen Pembimbing I : Dr. Ir. Gita Pawana,"Dosen Pembimbing II :Dr. Achmad Amzeri, S.P., M.P","Crocidolomia pavonana merupakan salah satu hama golongan Brasicca  yang sangan merugikan. Pengendalian hama tersebut masih menggunakan pengendalian secara kimia. Pengendalian hama menggunakan agens hayati merupakan salah satu alternatif untuk mengurangi dampak negatif pengendalian secara kimia. Salah satu agens hayati yang berpotensi sebagai pengendali hama adalah nematoda entomopatogen (NEP) golongan Heterorhabditis sp. Penelitian ini menggunakan analisis probit pada program SPSS 16.0.  Perlakuan yang diberikan pada larva Crocidolomia pavonana instar III dan IV terdiri dari 5 perlakuan yaitu kerapatan NEP 0 JI/ml, 200 JI/ml, 400 JI/ml, 600 JI/ml dan 800 JI/ml. Perbanyakan Heterorhabditis sp. menggunakan larva Tenebrio molitor. NEP dengan kerapatan 400 JI/ml mampu menyebabkan mortalitas larva Crocidolomia pavonana instar III tertinggi sebesar 100% pada 40 jam setelah aplikasi NEP dan Crocidolomia pavonana instar IV tertinggi sebesar 95% pada 48 jam setelah aplikasi. Nilai LC50 pada Crocidolomia pavonana instar III dan IV masing-masing 117,269 JI/ml dan 159,953 JI/ml. Untuk nilai LT50 pada Crocidolomia pavonana instar III dan IV masing-masing sebesar 23,375 jam dan 29,054 jam. Kerapatan NEP 200 JI/ml, 400 JI/ml, 600 JI/ml dan 800 JI/ml menyebabkan tidak ada larva Crocidolomia pavonana instar III dan IV yang berhasil menjadi imago, kecuali pada perlakuan 0 JI/ml (kontrol) sebesar 50% larva berhasil menjadi imago pada Crocidolomia pavonana instar III dan 70% pada Crocidolomia pavonana instar IV."
"EKSPLORASI DAN KARAKTERISASI CABE JAMU 
(Piper retrofractum Vahl.) DI KABUPATEN LAMONGAN
",Penulis : Rendik Irfa'i,"Dosen Pembimbing I : Dr. Achmad Amzeri, S.P.,M.P.","Dosen Pembimbing II :Dr. Ir. H. Ahmad Arsyad Munir, M.S","ABSTRAK
Cabe jamu (Piper retrofractum Vahl.) merupakan tanaman berkhasiat obat yang banyak dibudidayakan di Indonesia serta termasuk 10 besar simplisia nabati yang diserap oleh industri obat tradisonal. Penelelitian ini bertujuan untuk mengetahui karakter morfologi dan hubungan kekerabatan cabe jamu Lamongan. Penelitian ini dilaksanakan pada bulan November-Desembar 2016. Penentuan lokasi pengambilan sampel menggunakan metode purposive sampling dan metode snowball sampling. Karakterisasi morfologi dilakukan secara skoring dengan mengidentifikasi karakter morfologi (37 karakter morfologi) yang meliputi karakter akar, batang, cabang, daun, bulir, buah dan biji. Pengelompokan OTUs menggunakan metode Average lingkage UPGMA, untuk selanjutnya disajikan dalam bentuk dendogram. Hasil Penelitian menunjukkan adanya keragaman cabe jamu Lamongan terletak pada warna batang, bentuk cabang, letak cabang lateral, warna cabang lateral, panjang tangkai daun, lebar daun, bentuk helaian daun, warna daun, warna bulir, panjang tangkai bulir, panjang buah dan tekstur permukaan buah. Hasil penelitian terhadap 37 karakter karakter yang terdiri dari 26 karakter kualitatif dan 11 karakter kuantitatif diperoleh pengelompokan (Clustering) kultivar dalam bentuk dendogram pada koefisien kemiripan 0,88-1,00 terbagi menjadi 2 Kelompok utama. Kelompok pertama terbagi menjadi 2 sub kelompok yaitu sub kelompok A dan sub kelompok B. Sub kelompok A terdiri dari 5 kultivar sedangkan sub kelompok B terdiri dari 43 kultivar. Kelompok kedua terdiri dari 1 kutivar. 

Kata Kunci : Cabe Jamu Lamongan,  Karakter Morfologi, Hubungan Kekerabatan
"
"FORMULASI BAKTERI PSEOUDOMONAD PENDARFLOUR, AZOSPIRILLUM sp.
MADURA DAN PUPUK ANORGANIK UNTUK MENINGKATKAN
PERTUMBUHAN BUD CHIPS TEBU (Saccharum officinarum L.)",Penulis : Ach.Khoirul Ikhwan,"Dosen Pembimbing I : Dr. Ir. Achmad Djunaedy, MP","Dosen Pembimbing II :Achmad Amzeri, SP. MP","Azospirillum sp. merupakan bakteri gram negatif yang hidup bebas di tanah dan mampu menambat nitrogen bebas dalam keadaan mikroaerofilik. Sedangkan Pseudomonad pendarflour (PF)  memiliki kemampuan melepas P terikat menjadi P tersedia secara enzimatis. Isolat bakteri yang berasal dari Madura mampu beradaptasi terhadap kondisi lahan kering dan memiliki kemampuan yang berbeda dalam mealrutkan P dan menfiksasi N dari daerah lain. Tujuan penelitian ini mengetahui dan menentukan komposisi media formulasi bakteri pseudomonad pendarflour,  Azospirillum sp. Madura dan pupuk anorganik  yang efektif dalam meningkatkan produksi bibit bud chips Tebu. Penelitian ini menggunakan rancangan acak lengkap (RAL) dua faktor dengan faktor pertama yaitu F0, F1, F2, dan F3 sedangkan faktor kedua P0 dan P1.  Data pengamatan di analisis dengan analisis sidik ragam (ANSIRA), kemudian dilanjutkan dengan uji beda jarak nyata duncan (BJND) ? : 5%. Hasil penelitian menunjukkan bahwa : (1) Perlakuan formulasi bakteri berpengaruh nyata pada parameter jumlah daun 2,4 MST dan bobot kering batang namun tidak menunjukkan perbedaan yang nyata antar perlakuan  dan F2P0 cenderung memberikan perlakuan terbaik rerata tertinggi pada beberapa parameter pengamatan.(2) Perlakuan pupuk anorganik berpengaruh tidak nyata pada semua parameter namun, rerata tertinggi ditunjukkan oleh perlakuan P0 pada beberapa parameter pengamatan. (3) Kombinasi perlakuan formulasi bakteri PF, Azospirillum sp. dan pupuk anorganik tidak menunjukkan interaksi positif
Kata kunci : Azospirillum sp., pseudomonad pendarflour, Madura, Bud chips, dan Tebu
"
"PENGARUH APLIKASI  PUPUK BORON TERHADAP PRODUKSI DAN KANDUNGAN MINYAK ATSIRI 
TANAMAN SELASIH (Ocimum basilicum L.) ",Penulis : Ummu Fitrothul Hidayah,"Dosen Pembimbing I : Diana Nurus Sholehah, S. Farm. Apt., M. Si","Dosen Pembimbing II :Dr.Ir.R.A.Sidqi Zaed ZM.,MS","Penelitian dilakukan untuk mengetahui pengaruh pupuk Boron terhadap produksi dan kandungan minyak atsiri tanaman selasih (Ocimum basilicum L.). Penelitian dilaksanakan pada bulan November 2016-Februari 2017 di kebun percobaan Program Studi Agroteknologi Fakultas Pertanian Universitas Trunojoyo Madura yang terletak di Desa Telang Kecamatan Kamal Kabupaten Bangkalan Madura dengan ketinggian tempat ± 5 mdpl. Rancangan lingkungan menggunakan rancangan acak lengkap (RAL) nonfaktorial yaitu dosis pupuk Boron dengan 7 taraf perlakuan yang terdiri dari M0 (Kontrol/Tanpa pupuk Boron), M1 (Boron 0,15 g/tanaman), M2 (Boron 0,30 g/tanaman), M3 (Boron 0,45 g/ tanaman), M4 (Boron 0,60 g/tanaman), M5 (Boron 0,75 g/tanaman), M6 (Boron 0,90 g/tanaman). Data pengamatan dianalisis dengan Analisis Sidik Ragam (ANSIRA),kemudian dilanjutkan dengan uji Beda Jarak Nyata Duncan (BJND) taraf signifikasi 5%. Hasil penelitian menunjukkan bahwa perlakuan dosis pupuk Boron memberikan pengaruh nyata terhadap variabel jumlah daun, luas daun total, bobot basah, dan bobot kering. Dosis pupuk Boron yang mulai mampu meningkatkan kandungan minyak atsiri pada perlakuan pupuk Boron 0,45 sampai 0,60 g/tanaman.

Kata kunci : Minyak atsiri, Ocimum basilicum L., Pupuk, Boron (B)
"
